-120,36,42,109,-106,-121,-40,29,45,-10,-23,-124,-136,-29,-116,115,
-43,-40,-26,138,-95,187,-39,-24,-36,-11,-33,23,-67,-42,-105,127,
34,-2,-75,162,-92,-165,-13,-27,-9,-10,-27,-94,123,-33,-67,-85,
97,7,-85,159,-40,0,-78,-132,-41,-19,-10,-202,21,-68,114,128,
-9,38,-16,-59,-109,-106,-8,-4,22,-20,-18,58,14,-28,-94,54,
-64,-47,-12,-118,54,110,-56,-60,46,20,-34,-120,84,-37,31,55,
-148,62,-13,17,117,-146,-66,3,-116,0,-21,41,60,-48,-121,102,
-160,33,6,-98,-149,-80,-3,-19,-106,-10,10,-99,53,-3,108,28,
31,-143,-87,-28,-78,-25,-11,2,-83,0,92,-8,-43,-32,-5,45,
-139,-77,83,68,13,73,-51,129,86,-1,-71,57,24,-53,98,-179,
21,44,35,-45,-40,-37,-11,-2,32,20,-2,2,-59,-21,3,-62,
56,-33,104,6,10,-9,-35,-7,-40,-10,-17,-10,-29,-37,-45,-10,
111,87,-57,-39,-106,13,-28,-1,-66,0,-10,-138,-21,-28,-66,32,
-91,-32,44,-43,61,56,-65,58,111,10,-21,56,-86,-56,-53,-32,
25,-6,-114,24,89,-26,-14,-12,90,0,-99,0,-49,-24,3,-3,
